rank_within_available_evaluations,mode,source,repair_cost_usd,budget_remaining_usd,repaired_station_count,repaired_stations,repaired_road_component_count,served_total,served_ev,served_non_ev,finite_system_time_min,physical_in_vehicle_time_min,physical_wait_vehicle_min,physical_service_vehicle_min,unstable_station_entries,potential_total,potential_ev,ev_completion_target,ev_target_shortfall,ev_target_rate,ev_target_feasible,completion_shortfall,completion_rate,completion_feasible,queue_feasible,hard_feasible,feasibility_violation,max_station_utilization,station_utilization_violation,unstable_station_count,nonfinite_wait_station_count
1,focus_e7be6f1179,BIHMH gen 10 focus / crossover_fix,14999757.120000001,242.87999999895692,3,C2;C5;C7,2255,233963.548714135,10059.86871413499,223903.68,6417505.998745447,6399163.746490326,71.11736741541773,18271.134887705986,0.0,234011.42387521,10107.743875209999,10011.261082757894,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8224204581773037,0.0,0,0
2,focus_8579b13168,BIHMH gen 22 focus / mip_intensify,14999664.72,335.27999999932945,4,C1;C2;C5;C7,2527,233155.99789598747,10232.557895987477,222923.44,6448095.036176263,6428319.413643064,204.86164127625827,19570.760891922928,0.0,233210.38994098,10286.949940980001,10188.75654902485,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8637203977574159,0.0,0,0
3,focus_dc47a93de1,BIHMH gen 30 focus / add_fix,14999422.96,577.0399999991059,5,C1;C2;C4;C5;C7,2228,231841.58225536,10007.332255360006,221834.25,6453756.795241925,6434912.258548081,103.23056787143163,18741.306125971983,0.0,231891.09353979,10056.84353979,9960.846613081892,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8368486941387032,0.0,0,0
4,focus_dc47a93de1,BIHMH gen 30 focus / add_fix,14999576.96,423.03999999910593,3,C4;C5;C7,1065,231841.58225536,10007.332255360006,221834.25,6465677.20809384,6446861.072219696,97.71749506156263,18718.418379082184,0.0,231891.09353979,10056.84353979,9960.846613081892,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8346773237418474,0.0,0,0
5,focus_dc47a93de1,BIHMH gen 30 focus / add_fix,14999576.96,423.03999999910593,3,C4;C5;C7,1066,231841.58225536,10007.332255360006,221834.25,6465864.565818574,6447048.436407732,97.72137715827482,18718.40803368435,0.0,231891.09353979,10056.84353979,9960.846613081892,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8346788713046098,0.0,0,0
6,focus_dc47a93de1,BIHMH gen 30 focus / add_fix,14999797.2,202.80000000074506,3,C4;C5;C7,1056,231841.58225536,10007.332255360006,221834.25,6466210.447522327,6447394.120891964,97.72447372745324,18718.602156635596,0.0,231891.09353979,10056.84353979,9960.846613081892,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8346803385266572,0.0,0,0
7,focus_dc47a93de1,BIHMH gen 30 focus / add_fix,14999797.2,202.80000000074506,3,C4;C5;C7,947,231841.58225536,10007.332255360006,221834.25,6469649.687570664,6450833.737349654,96.05328778699149,18719.89693322284,0.0,231891.09353979,10056.84353979,9960.846613081892,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8339979854586721,0.0,0,0
8,focus_dc47a93de1,BIHMH gen 30 focus / add_fix,14999797.2,202.80000000074506,3,C4;C5;C7,940,231841.58225536,10007.332255360006,221834.25,6470250.040843686,6451434.111782882,95.86692162634516,18720.062139178044,0.0,231891.09353979,10056.84353979,9960.846613081892,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8339211855802406,0.0,0,0
9,focus_dc47a93de1,BIHMH gen 30 focus / add_fix,14999955.84,44.16000000014901,4,C2;C4;C5;C7,1052,231841.58225536,10007.332255360006,221834.25,6471262.286170572,6452445.940515697,94.76988178067074,18721.57577309499,0.0,231891.09353979,10056.84353979,9960.846613081892,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8334667700960947,0.0,0,0
10,focus_dc47a93de1,BIHMH gen 30 focus / add_fix,14999735.6,264.40000000037253,4,C2;C4;C5;C7,1050,231841.58225536,10007.332255360006,221834.25,6473551.576823829,6454737.569321414,91.91930896177546,18722.08819345328,0.0,231891.09353979,10056.84353979,9960.846613081892,0.0,1.0,True,0.0,1.0,True,True,True,0.0,0.8322574899433892,0.0,0,0
