soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1004,1002,0.975112655,5,0,0,path_count_below_K
0.1,1004,902,1.376936185,5,0,0,path_count_below_K;high_demand
0.1,1004,987,0.844016565,5,0,0,path_count_below_K
0.1,1022,1002,0.684689855,5,0,100,path_count_below_K;dynamic_enrichment
0.1,1022,1013,1.3955909475,5,0,0,path_count_below_K;high_demand
0.1,1022,1029,1.2879702975,5,0,0,path_count_below_K;high_demand
0.1,1022,1059,1.9356608425,5,0,0,path_count_below_K;high_demand
0.1,1022,1564,1.7624994775,5,0,0,path_count_below_K;high_demand
0.1,1022,1569,1.62402705,5,0,0,path_count_below_K;high_demand
0.1,1022,926,0.9764340675,5,0,0,path_count_below_K
0.1,1029,1071,0.693176235,5,0,80,path_count_below_K;dynamic_enrichment
0.1,1031,844,0.8207927575,5,0,0,path_count_below_K
0.1,1031,971,0.8790513675,5,0,0,path_count_below_K
0.1,1033,1301,0.62088767,5,0,260,path_count_below_K;dynamic_enrichment
0.1,1059,1022,1.0781158625,5,0,0,path_count_below_K
0.1,1059,1071,2.256484925,5,0,0,path_count_below_K;high_demand
0.1,107,130,0.6477309,5,0,200,path_count_below_K;dynamic_enrichment
0.1,107,342,0.6748375225,5,0,140,path_count_below_K;dynamic_enrichment
0.1,1071,1013,1.161896295,5,0,0,path_count_below_K
0.1,1071,1029,1.6470875575,5,0,0,path_count_below_K;high_demand
0.1,1071,1059,2.785935815,5,0,0,path_count_below_K;high_demand
0.1,1071,1328,2.012463055,5,0,0,path_count_below_K;high_demand
0.1,1071,1338,3.0454614775,5,0,0,path_count_below_K;high_demand
0.1,1071,1564,3.647193135,5,0,0,path_count_below_K;high_demand
0.1,1071,1569,2.4775589775,5,0,0,path_count_below_K;high_demand
0.1,1071,1571,1.7225693125,5,0,0,path_count_below_K;high_demand
0.1,1071,1577,1.78807081,5,0,0,path_count_below_K;high_demand
0.1,1071,1582,0.747173815,5,0,0,path_count_below_K
0.1,1071,1585,1.773357335,5,0,0,path_count_below_K;high_demand
0.1,1071,1632,1.327636265,5,0,0,path_count_below_K;high_overlap;high_demand
