soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1004,1002,0.975112655,5,0,0,path_count_below_K
0.1,1004,902,1.376936185,5,0,0,path_count_below_K;high_demand
0.1,1004,987,0.844016565,5,0,0,path_count_below_K
0.1,1022,1013,1.3955909475,5,0,0,path_count_below_K;high_demand
0.1,1022,1029,1.2879702975,5,0,0,path_count_below_K;high_demand
0.1,1022,1059,1.9356608425,5,0,0,path_count_below_K;high_demand
0.1,1022,1071,2.1502898725,5,0,40,path_count_below_K;high_demand;dynamic_enrichment
0.1,1022,1564,1.7624994775,5,0,0,path_count_below_K;high_demand
0.1,1022,1569,1.62402705,5,0,0,path_count_below_K;high_demand
0.1,1022,926,0.9764340675,5,0,0,path_count_below_K
0.1,1031,428,0.0143088275,5,1,140,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,439,0.0066184125,5,1,340,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,450,0.0112567,5,1,340,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,461,0.0036796825,5,1,340,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,484,0.007085135,5,1,100,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,550,0.0268345925,5,1,420,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,643,0.0179785,5,1,40,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,656,0.03035864,5,1,40,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,667,0.0377318375,5,1,40,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,681,0.00853367,5,1,60,path_count_below_K;low_station_diversity;dynamic_enrichment
0.1,1031,844,0.8207927575,5,0,0,path_count_below_K
0.1,1031,971,0.8790513675,5,0,0,path_count_below_K
0.1,1059,1022,1.0781158625,5,0,0,path_count_below_K
0.1,1059,1071,2.256484925,5,0,0,path_count_below_K;high_demand
0.1,1059,1074,1.94509911,5,0,340,path_count_below_K;high_demand;dynamic_enrichment
0.1,1071,1013,1.161896295,5,0,0,path_count_below_K
0.1,1071,1029,1.6470875575,5,0,0,path_count_below_K;high_demand
