roads,road_count,cost_usd,total_impact,continuity_score,boundary_end_count,source
1952->1954;1954->12593;12593->12594,3,22464.48,26593.685618817082,1.894096680186113,0,upstream corridor extension
1954->12593;12593->12594;12594->12589,3,26869.28,28259.48339544989,1.682783216845402,0,two-sided corridor completion
12594->12593;12593->1954;1954->1952,3,22464.48,20849.830094557383,1.4849989027696975,0,downstream corridor extension
12593->12594;12594->12589;12589->10882,3,31494.32,28203.386215894734,1.4328113115454335,0,upstream corridor extension
6386->2426;2426->6377;6377->6376,3,19821.600000000002,16154.829532149382,1.3040182049601956,0,downstream corridor extension
8756->10347;10347->6386;6386->2426,3,16958.48,13771.492018158699,1.299313808139286,0,upstream corridor extension
10347->6386;6386->2426;2426->6377,3,16958.48,12952.9787556646,1.2220886547062806,0,two-sided corridor completion
2894->12641;12641->1909;1909->2454,3,38982.479999999996,28055.65672271716,1.151518599030833,0,two-sided corridor completion
6374->6377;6377->2425;2425->6379,3,22024.0,15569.975216883915,1.131127876271988,0,upstream corridor extension
6286->6285;6285->4428;4428->6282,3,16077.52,11358.028057637934,1.1303263744794405,0,downstream corridor extension
12593->12594;12594->12589;12589->2061,3,40083.68,28143.553488102956,1.1233920034528948,0,downstream corridor extension
5930->5921;5921->10573;10573->5896,3,23345.44,16320.318170733868,1.1185271758927735,0,upstream corridor extension
10905->2894;2894->12641;12641->1909,3,43387.28,29522.11895178607,1.0886921310314386,0,upstream corridor extension
6377->2425;2425->6379;6379->6759,3,12113.2,8217.917336291692,1.0854825923840692,0,upstream corridor extension
2425->6379;6379->6386;6386->2426,3,21803.760000000002,14491.758541561852,1.063431888192631,0,downstream corridor extension
2812->6916;6916->2815;2815->2817,3,6386.960000000001,4200.406708287261,1.0522456275379237,0,two-sided corridor completion
10585->6286;6286->6285;6285->4428,3,22024.0,14038.012019661335,1.0198337827578159,0,upstream corridor extension
12589->12594;12594->12593;12593->1954,3,26869.28,16386.62056900036,0.9757832331346645,0,downstream corridor extension
5926->5930;5930->5921;5921->10573,3,18279.92,11015.670542914893,0.964176695995597,0,two-sided corridor completion
9624->10629;10629->10623;10623->10889,3,43387.28,25692.70310381703,0.9474741206664086,0,upstream corridor extension
10343->6374;6374->6377;6377->6376,3,36339.6,21507.431082372794,0.9469529034936124,0,two-sided corridor completion
6133->8648;8648->4434;4434->6130,3,23125.2,13432.359201013214,0.9293660042560126,0,upstream corridor extension
10894->12594;12594->12593;12593->1954,3,31274.08,18048.974312255825,0.923395952802107,0,two-sided corridor completion
6138->6133;6133->8648;8648->4434,3,22024.0,12421.412136809846,0.9023910015844422,0,upstream corridor extension
