road_component_id,source_init_node,source_term_node,edge_count,edge_indices,length_miles,lanes,lane_miles,max_flood_depth_mm,minimum_capacity_retention_ratio,contains_closed_edge,repair_cost_usd,baseline_component_flow_veh_per_period,same_flow_vehicle_min_saving,capacity_loss_proxy_vehicle_min,closed_link_proxy_vehicle_min,impact_score,impact_per_dollar,severity_index,boundary_end_count,interior_severe_segment,warmstart_singleton_score,checkpoint_status,checkpoint_stage,checkpoint_generation
2560->4744,2560,4744,1,"(3579,)",0.02,1,0.02,127.0,0.564,False,440.48,1229.3795792830665,23.53116586251588,22.971835567175017,0.0,25.368912707889884,0.05759379020134826,0.4063062245514846,0,True,0.011518758040269653,completed,completed,100
4744->2560,4744,2560,1,"(7732,)",0.02,1,0.02,127.0,0.564,False,440.48,1556.8344882420788,30.25004045381153,29.090564437437706,0.0,32.57728560880655,0.073958603361802,0.41602194800515796,0,True,0.014791720672360401,completed,completed,100
10335->8766,10335,8766,1,"(19056,)",0.03,1,0.03,127.0,0.564,False,660.72,3080.2666773045644,97.09359322911523,96.69573153394488,0.0,104.82925175183082,0.1586591169509487,0.4573893201187233,0,True,0.03173182339018974,completed,completed,100
10534->8441,10534,8441,1,"(19929,)",0.03,1,0.03,88.9,0.637,False,660.72,2563.26138727076,38.88343051815014,47.85242829836327,0.0,42.7116247820192,0.06464406220792347,0.3783017699957975,0,False,0.06464406220792347,completed,completed,100
10805->8482,10805,8482,1,"(21179,)",0.03,1,0.03,127.0,0.564,False,660.72,4089.175551295864,221.90792192877416,128.36739890627976,0.0,232.17731384127654,0.35140046289090165,0.48382701886713364,0,True,0.07028009257818034,completed,completed,100
10805->8483,10805,8483,1,"(21180,)",0.03,1,0.03,127.0,0.564,False,660.72,3970.749339505482,291.1499786563491,86.56233560121952,0.0,298.07496550444665,0.45113658660922423,0.4908633775144094,0,True,0.09022731732184486,completed,completed,100
10983->7584,10983,7584,1,"(21983,)",0.03,1,0.03,88.9,0.637,False,660.72,3945.502081259562,78.18006678966073,80.5622206217187,0.0,84.62504443939822,0.12808004062144057,0.402875911595014,0,False,0.12808004062144057,completed,completed,100
11094->12482,11094,12482,1,"(22473,)",0.03,1,0.03,63.5,0.637,False,660.72,2911.0346785590423,8.477402350722564,59.43968934282745,0.0,13.23257749814876,0.020027511651151412,0.3295892672199509,2,False,0.03004126747672712,completed,completed,100
11792->3475,11792,3475,1,"(24373,)",0.03,1,0.03,63.5,0.637,False,660.72,4892.814810265304,124.52529354207338,86.40446478452297,0.0,131.43765072483524,0.19893094007270135,0.40117921443003596,1,False,0.24866367509087667,completed,completed,100
12063->3985,12063,3985,1,"(24966,)",0.03,1,0.03,127.0,0.564,False,660.72,508.3854017865675,14.459774206167243,14.249316547217793,0.0,15.599719529944666,0.023610182119422243,0.38301223400292217,0,False,0.023610182119422243,completed,completed,100
