warmstart_index,source,station_set,road_count,cost_usd,screen_served_total,screen_served_ev,screen_system_time_min,screen_hard_feasible,screen_ev_completion_target,screen_ev_target_shortfall,screen_max_station_utilization,screen_unstable_station_count,surrogate_priority
1,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C4;C5;C7,180,4999800.0,1078418.3427477926,19615.532747792542,312480653.9120569,False,19712.0,96.46725220745793,1.0500223187445854,1,999900000150.7479
2,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C2;C4;C5;C7,157,4999958.64,1078418.3427477926,19615.532747792542,309924294.5759085,False,19712.0,96.46725220745793,1.0397586714015397,1,999700000135.7649
3,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C1;C4;C5;C7,144,4999707.6,1078515.3612064177,19712.551206417524,311563533.76205194,False,19712.0,0.0,1.0457473032073938,1,999600000127.5336
4,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C4;C5;C7,179,4999800.0,1078515.3612064177,19712.551206417524,165387753.08490214,False,19712.0,0.0,1.003103114073885,1,999900000149.3911
5,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C4;C5;C7,177,4999800.0,1078418.3427477926,19615.532747792542,305298165.83810323,False,19712.0,96.46725220745793,1.0226264463510968,1,999900000149.0386
6,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_impact,C4;C5;C7,31,4999579.76,1078515.3612064177,19712.551206417524,313260874.235673,False,19712.0,0.0,1.0523472692439662,1,999900000023.1399
7,user-specified station warm start rank 1: repairs=C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=boundary_first,C4;C5;C7,36,4999800.0,1078418.3427477926,19615.532747792542,308787173.9319898,False,19712.0,96.46725220745793,1.033278430907213,1,999900000012.728
8,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C2;C4;C5;C7,157,4999958.64,1078515.3612064177,19712.551206417524,313404313.6653708,False,19712.0,0.0,1.0529910911605773,1,999700000135.5858
9,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 2,C2;C4;C5;C7,156,4999958.64,1078515.3612064177,19712.551206417524,313460572.843492,False,19712.0,0.0,1.053233353319622,1,999700000134.8683
10,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_impact,C2;C4;C5;C7,21,4999738.4,1078513.9610239652,19711.151023965023,170309300.7206987,False,19712.0,0.8489760349766584,1.0396458873122865,1,999700000013.1703
11,user-specified station warm start rank 3: repairs=C2+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=boundary_first,C2;C4;C5;C7,21,4999958.640000001,1078418.3427477926,19615.532747792542,308293064.8452099,False,19712.0,96.46725220745793,1.0313074298982683,1,999700000006.927
12,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_ratio,C1;C4;C5;C7,143,4999927.84,1078515.3612064177,19712.551206417524,36014828.84840762,True,19712.0,0.0,0.9649902953320629,0,999600000127.054
13,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / randomized corridor fill 1,C1;C4;C5;C7,143,4999927.84,1078515.3612064177,19712.551206417524,311159715.31492394,False,19712.0,0.0,1.0441231923940542,1,999600000126.4673
14,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=corridor_impact,C1;C4;C5;C7,30,4999707.6,1078515.3612064177,19712.551206417524,307852377.0692124,False,19712.0,0.0,1.0314372044871425,1,999600000025.6055
15,user-specified station warm start rank 4: repairs=C1+C4+C5+C7; oracle_EV=19712.551206; oracle_max_u=0.999999 / initial roads=boundary_first,C1;C4;C5;C7,13,4999927.84,1078515.3612064177,19712.551206417524,36520663.78741067,True,19712.0,0.0,0.9575774804564664,0,999600000005.0254
