road_component_id,source_init_node,source_term_node,edge_count,edge_indices,length_miles,lanes,lane_miles,max_flood_depth_mm,minimum_capacity_retention_ratio,contains_closed_edge,repair_cost_usd,baseline_component_flow_veh_per_period,same_flow_vehicle_min_saving,capacity_loss_proxy_vehicle_min,closed_link_proxy_vehicle_min,impact_score,impact_per_dollar,capacity_loss_fraction,depth_norm,impact_norm,flow_norm,severity_index,severe_for_warmstart,upstream_candidate_count,downstream_candidate_count,upstream_severe_count,downstream_severe_count,upstream_boundary,downstream_boundary,boundary_end_count,interior_severe_segment,warmstart_singleton_score
12593->12594,12593,12594,1,"(26685,)",0.32,1,0.32,127.0,0.564,False,7047.68,6589.280639076656,19314.35116718425,1532.227391273292,0.0,19436.92935848611,2.757918826973715,0.43600000000000005,0.42333333333333334,0.9554007449213574,0.9587008744171696,0.6197569775847909,True,2,4,2,4,False,False,0,True,0.551583765394743
12400->10827,12400,10827,1,"(26028,)",0.08,1,0.08,63.5,0.637,False,1761.92,8043.864472002769,3641.81899003749,437.9884205005508,0.0,3676.858063677534,2.0868473390832354,0.363,0.21166666666666667,0.7913714624078284,0.9804447330669778,0.5048392453623796,True,3,4,3,3,False,False,0,True,0.4173694678166471
10827->12400,10827,12400,1,"(21279,)",0.08,1,0.08,63.5,0.637,False,1761.92,7540.305406557198,2635.963032450022,410.56962938703947,0.0,2668.808602800985,1.514716106747744,0.363,0.21166666666666667,0.7598124443977802,0.9733974634269211,0.4946668129953595,True,4,3,3,3,False,False,0,True,0.3029432213495488
12594->12593,12594,12593,1,"(26689,)",0.32,1,0.32,127.0,0.564,False,7047.68,5701.101870676991,10506.571344452721,1325.6962216614231,0.0,10612.627042185635,1.5058327055407785,0.43600000000000005,0.42333333333333334,0.8957861568536412,0.9429182031873368,0.6002943340414928,True,4,2,4,2,False,False,0,True,0.3011665411081557
8648->4434,8648,4434,1,"(15800,)",0.31,1,0.31,127.0,0.564,False,6827.44,5702.8604505140065,8699.532628815808,1849.9166843795358,0.0,8847.525963566171,1.2958775124448068,0.43600000000000005,0.42333333333333334,0.877866154970716,0.9429518225023045,0.594921695408112,True,3,4,3,4,False,False,0,True,0.2591755024889614
10627->7587,10627,7587,1,"(20369,)",0.1,1,0.1,127.0,0.564,False,2202.4,5571.346170447567,2694.466486641688,520.5229136389584,0.0,2736.1083197328044,1.2423303304271722,0.43600000000000005,0.42333333333333334,0.7622651775889187,0.9404085770343821,0.5599870776467805,True,3,4,3,4,False,False,0,True,0.24846606608543445
8756->10347,8756,10347,1,"(15938,)",0.06,1,0.06,127.0,0.564,False,1321.44,5506.362228288662,1566.5271355450884,298.0271087421339,0.0,1590.369304244459,1.2035123079704406,0.43600000000000005,0.42333333333333334,0.7088358532490239,0.9391296628542467,0.5438303889267985,True,4,3,4,3,False,False,0,True,0.24070246159408815
1954->1952,1954,1952,1,"(1952,)",0.3,1,0.3,127.0,0.564,False,6607.2,5040.376349776639,6802.127675240053,841.6356083627035,0.0,6869.458523909069,1.0396928387076325,0.43600000000000005,0.42333333333333334,0.8529380501087457,0.9294910695052465,0.586097188649815,True,4,4,4,4,False,False,0,True,0.20793856774152653
12641->1909,12641,1909,1,"(26850,)",1.16,1,1.16,127.0,0.564,False,25547.839999999997,5017.969857611521,25548.630028787575,3383.8512469141374,0.0,25819.338128540705,1.010627048256945,0.43600000000000005,0.42333333333333334,0.983374779733792,0.9290054228941688,0.6251796428762212,True,3,4,3,4,False,False,0,True,0.20212540965138903
2815->2817,2815,2817,1,"(4247,)",0.04,1,0.04,127.0,0.564,False,880.96,5196.203553972731,869.9897512185885,169.91585621490833,0.0,883.5830197157811,1.0029774560885638,0.43600000000000005,0.42333333333333334,0.6509802599358627,0.9328099819123692,0.5258417428386624,True,4,4,4,4,False,False,0,True,0.20059549121771278
5930->5921,5930,5921,1,"(10507,)",0.31,1,0.31,127.0,0.564,False,6827.44,5220.147378528141,6515.686933588825,1459.7692131348904,0.0,6632.4684706396165,0.9714429523569035,0.43600000000000005,0.42333333333333334,0.8494796202873138,0.933311116067918,0.5854416643596526,True,4,6,4,6,False,False,0,True,0.1942885904713807
2425->6379,2425,6379,1,"(3220,)",0.25,1,0.25,127.0,0.564,False,5506.0,5104.9519176662425,5082.619653090611,1043.3245481730385,0.0,5166.085616944454,0.9382647324635769,0.43600000000000005,0.42333333333333334,0.8248668895203606,0.9308787231683726,0.5778146058396121,True,4,4,4,4,False,False,0,True,0.18765294649271538
6282->4428,6282,4428,1,"(11036,)",0.03,1,0.03,127.0,0.564,False,660.72,5284.539777674325,603.9738171881909,165.89227270075241,0.0,617.245199004251,0.9342008702691776,0.43600000000000005,0.42333333333333334,0.6156865115675386,0.9346475052230067,0.5154373706592289,True,4,4,4,4,False,False,0,True,0.18684017405383554
6386->2426,6386,2426,1,"(11285,)",0.39,1,0.39,152.4,0.509,False,8589.36,4193.694724030203,7547.707399744134,1661.4840055956076,0.0,7680.626120191782,0.894202375985147,0.491,0.508,0.8639331743432376,0.9094457691406658,0.6235745292170377,True,4,4,4,4,False,False,0,True,0.1788404751970294
6285->4428,6285,4428,1,"(11040,)",0.45,1,0.45,127.0,0.564,False,9910.800000000001,4922.08718541658,7988.966780400965,1810.7128233351245,0.0,8133.823806267775,0.820703051849273,0.43600000000000005,0.42333333333333334,0.8695807480668899,0.9269024385325024,0.590831134939984,True,4,4,4,4,False,False,0,True,0.1641406103698546
10568->8788,10568,8788,1,"(20087,)",0.4,1,0.4,127.0,0.564,False,8809.6,5120.31659600362,7044.906936446565,2143.1597144232755,0.0,7216.359713600427,0.8191472613513017,0.43600000000000005,0.42333333333333334,0.857791093660119,0.9312063072883415,0.5877246254935365,True,3,4,3,4,False,False,0,True,0.16382945227026036
10585->6305,10585,6305,1,"(20172,)",0.06,1,0.06,127.0,0.564,False,1321.44,5020.667218862702,1058.0181760234689,281.4442595259606,0.0,1080.5337167855457,0.817694119131815,0.43600000000000005,0.42333333333333334,0.670785110078156,0.9290640011659793,0.5314085998067114,True,4,4,4,4,False,False,0,True,0.163538823826363
4428->6282,4428,6282,1,"(6760,)",0.03,1,0.03,127.0,0.564,False,660.72,5074.343158928512,508.7955977156069,159.29378044508385,0.0,521.5391001512136,0.7893496490967634,0.43600000000000005,0.42333333333333334,0.5991165139426997,0.9302231778776991,0.5100239386372465,True,4,4,4,4,False,False,0,True,0.1578699298193527
9001->9000,9001,9000,1,"(16602,)",0.12,1,0.12,127.0,0.564,False,2642.88,5062.953072645938,2016.1983477636395,635.7448914260052,0.0,2067.0579390777198,0.7821232666930469,0.43600000000000005,0.42333333333333334,0.7346501746134625,0.929978227516255,0.5506595418023309,True,3,3,3,3,False,False,0,True,0.1564246533386094
4434->8648,4434,8648,1,"(6781,)",0.31,1,0.31,127.0,0.564,False,6827.44,5060.229188045346,5196.846176942136,1641.457384934902,0.0,5328.162767736928,0.7804041877683184,0.43600000000000005,0.42333333333333334,0.8279097816217585,0.9299195671777268,0.578631557870967,True,4,3,4,3,False,False,0,True,0.1560808375536637
6377->6376,6377,6376,1,"(11257,)",0.45,1,0.45,127.0,0.564,False,9910.800000000001,4831.894222713378,7471.834413896206,1777.5330871806843,0.0,7614.037060870661,0.7682565545536849,0.43600000000000005,0.42333333333333334,0.8630753995952406,0.9248865210001026,0.5886779386452491,True,4,4,4,4,False,False,0,True,0.153651310910737
7866->10358,7866,10358,1,"(14685,)",0.1,1,0.1,127.0,0.564,False,2202.4,4890.589691184599,1592.6708813594014,456.92080829067544,0.0,1629.2245460226554,0.7397496122514781,0.43600000000000005,0.42333333333333334,0.711212497753822,0.9262026606859458,0.5432506820614078,True,4,4,4,4,False,False,0,True,0.14794992245029562
5292->10550,5292,10550,1,"(9408,)",0.26,1,0.26,127.0,0.564,False,5726.24,4772.325978370616,4130.453583394658,1014.3578867026746,0.0,4211.602214330872,0.7354917387903532,0.43600000000000005,0.42333333333333334,0.8047458609538419,0.9235343658427645,0.5710438615370956,True,4,4,4,4,False,False,0,True,0.14709834775807065
